Customer_ID,Customer_Name,Gender,Age,City,State,Region
C0001,Anjali Mehta,Female,55,Udaipur,Rajasthan,North
C0002,Rohit Nair,Male,42,Chennai,Tamil Nadu,South
C0003,Aarav Nair,Male,19,Patna,Bihar,East
C0004,Rahul More,Female,56,Amritsar,Punjab,North
C0005,Ananya Pawar,Male,24,Hyderabad,Telangana,South
C0006,Anjali Gupta,Female,32,Udaipur,Rajasthan,North
C0007,Tanvi Sharma,Female,47,Rourkela,Odisha,East
C0008,Sneha Joshi,Male,55,Mangaluru,Karnataka,South
C0009,Aarav Deshmukh,Male,50,Jaipur,Rajasthan,North
C0010,Akash Patil,Female,22,Gaya,Bihar,East
C0011,Aryan Sharma,Female,55,Patna,Bihar,East
C0012,Kavya Joshi,Male,41,Ludhiana,Punjab,North
C0013,Sakshi Nair,Male,25,Warangal,Telangana,South
C0014,Tanvi Nair,Female,29,Chennai,Tamil Nadu,South
C0015,Aditi Chavan,Male,53,Ludhiana,Punjab,North
C0016,Deepak Deshmukh,Female,28,Amritsar,Punjab,North
C0017,Aryan More,Female,23,Mysuru,Karnataka,South
C0018,Rohit Nair,Female,63,Delhi,Delhi,North
C0019,Divya Khan,Female,35,Hyderabad,Telangana,South
C0020,Aarav Nair,Female,60,Ahmedabad,Gujarat,West
C0021,Sakshi Deshmukh,Female,59,Ludhiana,Punjab,North
C0022,Suresh Shinde,Female,46,New Delhi,Delhi,North
C0023,Anjali Shinde,Female,28,Surat,Gujarat,West
C0024,Aarav Mehta,Male,38,Hyderabad,Telangana,South
C0025,Karan Joshi,Female,40,Pune,Maharashtra,West
C0026,Aarav Chavan,Female,32,Bhubaneswar,Odisha,East
C0027,Kavya Shinde,Male,26,New Delhi,Delhi,North
C0028,Priya Shinde,Male,42,Durgapur,West Bengal,East
C0029,Deepak Pawar,Female,24,Pune,Maharashtra,West
C0030,Sneha Patil,Male,34,Gaya,Bihar,East
C0031,Deepak Singh,Male,41,Gaya,Bihar,East
C0032,Anil Gore,Female,41,Bhubaneswar,Odisha,East
C0033,Neha Verma,Female,43,Bengaluru,Karnataka,South
C0034,Rahul Reddy,Male,34,Jodhpur,Rajasthan,North
